time,description,camp


2026-05-30 00:00,"Save-a-Flailmingo. A flamboyance of ‘Flailmingos’ have escaped across the plains of Otherworld. Find a Flailmingo, complete the task and return them to safety to earn your Flailmingo Wrangler badge.",Salon Saloon
2026-05-30 1:31,24hr community knitting and crochet circle. Supplies provided. Work on own project or join Knitters vs Crocheters in longest scarf comp!,Yarnia
2026-05-30 01:22,"Reframing Art Project. The Reframing Art Project invites you to revisit your younger self, star gaze & offer healing word hugs to your inner little one (Open 9am-2am - come by anytime)",Reframing
2026-05-30 3:00,A Shoes on Plounge by Picnic Party. Find Mouth👄 Keep your shoes on👄 Enter Mouth💋,MOUTH


2026-05-30 2:00,Fancy Feather Boutique. Come shake a tail feather and leave with a brand new outfit. Open daily from sun up to sundown,Flamingo Camp
2026-05-30 09:00,"Conversation Ball Pit. Pick a stranger, jump in the ball pit, pick up a ball & read the question, discover the answers to life, the universe and everything. And make a friend :)",Recovery House
2026-05-30 09:00,"Temple of heKate. A quiet, self- guided threshold space for reflection and learning. Explore Hecate, sacred symbolism, and the roots of temples as places of art and devotion. Enter freely, stay as long as you like.",Shaman Dome


2026-06-04 00:00,"Save-a-Flailmingo. A flamboyance of ‘Flailmingos’ have escaped across the plains of Otherworld. Find a Flailmingo, complete the task and return them to safety to earn your Flailmingo Wrangler badge.",Salon Saloon
2026-06-04 0:01,24hr community knitting and crochet circle. Supplies provided. Work on own project or join Knitters vs Crocheters in longest scarf comp!,Yarnia
2026-06-04 02:22,"Reframing Art Project. The Reframing Art Project invites you to revisit your younger self, star gaze & offer healing word hugs to your inner little one (Open 9am-2am - come by anytime)",Reframing
2026-06-04 6:00,A Shoes on Plounge by Picnic Party. Find Mouth👄 Keep your shoes on👄 Enter Mouth💋,MOUTH
2026-06-04 8:00,Fancy Feather Boutique. Come shake a tail feather and leave with a brand new outfit. Open daily from sun up to sundown,Flamingo Camp
2026-06-04 09:00,"Conversation Ball Pit. Pick a stranger, jump in the ball pit, pick up a ball & read the question, discover the answers to life, the universe and everything. And make a friend :)",Recovery House
2026-06-04 09:00,"Temple of heKate. A quiet, self- guided threshold space for reflection and learning. Explore Hecate, sacred symbolism, and the roots of temples as places of art and devotion. Enter freely, stay as long as you like.",Shaman Dome
2026-06-04 09:00,Community Canvas 2026. Community canvas space with paints and materials provided. Start a piece or build on another’s work. Includes a display of past creations and community art from previous years.,Shaman Dome
2026-06-04 09:00,"The Coffee Corral. Giddy up and get going with real espresso. Shots poured not fired, attending cowpeople will be required to partake in games, BYO milk. No Refunds, No Guarantees!",Salon Saloon
2026-06-04 10:00,"Find Your Snack Squad!!. Looking to connect with some new people? Play the Snack Squad game! Grab a food flag, look for others who are wearing a food flag, make a snack squad of foods. Return to Garden of Eatin with your Squad for a prize",Garden of Eatin'
2026-06-04 10:00,"Feathers & Folktales. Once upon a time, there was a group of feathered storytellers sharing their words for all who wandered in. Join us in our chill space for stories, laughter, and a little morning magic. All ages welcome!",The Really Lost Penguins Chill Cave
